name,short_name,field
JAXSTA LTD,JXT,Software & Services
JAYEX HEALTHCARE LIMITED,JHL,Health Care Equipment & Services
JAYRIDE GROUP LIMITED,JAY,Retailing
JB HI-FI LIMITED,JBH,Retailing
JCURVE SOLUTIONS LTD,JCS,Software & Services
JERVOIS MINING LIMITED,JRV,Materials
JIAJIAFU MODERN AGRICULTURE LIMITED,JJF,"Food, Beverage & Tobacco"
JIANCHENG INTERNATIONAL GROUP LIMITED,JCI,Capital Goods
JINDALEE RESOURCES LIMITED,JRL,Materials
JOHNS LYNG GROUP LIMITED,JLG,Capital Goods
JOYCE CORPORATION LTD,JYC,Retailing
JUMBO INTERACTIVE LIMITED,JIN,Consumer Services
JUPITER ENERGY LIMITED,JPR,Energy
JUPITER MINES LIMITED.,JMS,Materials
K & S CORPORATION LIMITED,KSC,Transportation
K-TIG LIMITED,KTG,Capital Goods
K2 ASSET MANAGEMENT HOLDINGS LTD,KAM,Diversified Financials
K2 ENERGY LIMITED.,KTE,Semiconductors & Semiconductor Equipment
K2FLY LIMITED,K2F,Software & Services
KAILI RESOURCES LIMITED,KLR,Energy
KAIROS MINERALS LIMITED,KAI,Materials
KAISER REEF LIMITED,KAU,Materials
KALAMAZOO RESOURCES LIMITED,KZR,Materials
KALINA POWER LIMITED,KPO,Utilities
KALIUM LAKES LIMITED,KLL,Materials
KALNORTH GOLD MINES LIMITED,KGM,Materials
KANGAROO ISLAND PLANTATION TIMBERS LTD,KPT,Materials
KAROON ENERGY LTD,KAR,Energy
KASBAH RESOURCES LIMITED,KAS,Materials
KATANA CAPITAL LIMITED,KAT,Not Applic
KATHMANDU HOLDINGS LIMITED,KMD,Retailing
KAZAKHSTAN POTASH CORPORATION LIMITED,KPC,Materials
KAZIA THERAPEUTICS LIMITED,KZA,"Pharmaceuticals, Biotechnology & Life Sciences"
KELLY PARTNERS GROUP HOLDINGS LIMITED,KPG,Commercial & Professional Services
KEY PETROLEUM LIMITED,KEY,Energy
KEYBRIDGE CAPITAL LIMITED,KBC,Diversified Financials
KEYTONE DAIRY CORPORATION LIMITED,KTD,"Food, Beverage & Tobacco"
KFW,KFW,Not Applic
KGL RESOURCES LIMITED,KGL,Materials
KIN MINING NL,KIN,Materials
KINA PETROLEUM CORPORATION,KPE,Energy
KINA SECURITIES LIMITED,KSL,Banks
KINETIKO ENERGY LTD,KKO,Energy
KING ISLAND SCHEELITE LIMITED,KIS,Materials
KING RIVER RESOURCES LIMITED,KRR,Materials
KINGFISHER TRUST 2016-1,KIG,Not Applic
KINGFISHER TRUST 2019-1,KI1,Not Applic
KINGSGATE CONSOLIDATED LIMITED.,KCN,Materials
KINGSLAND GLOBAL LTD,KLO,Real Estate
KINGSROSE MINING LIMITED,KRM,Materials
KINGSTON RESOURCES LIMITED,KSN,Materials
KINGWEST RESOURCES LIMITED,KWR,Materials
KIP MCGRATH EDUCATION CENTRES LIMITED,KME,Consumer Services
KIRKLAND LAKE GOLD LTD,KLA,Materials
KKR CREDIT INCOME FUND,KKC,Not Applic
KLEOS SPACE S.A,KSS,Commercial & Professional Services
KNEOMEDIA LIMITED,KNM,Media & Entertainment
KNOSYS LIMITED,KNO,Software & Services
KOGAN.COM LTD,KGN,Retailing
KOGI IRON LIMITED,KFE,Materials
KOLLAKORN CORPORATION LIMITED,KKL,Technology Hardware & Equipment
KOON HOLDINGS LIMITED,KNH,Capital Goods
KOPORE METALS LIMITED,KMT,Materials
KORAB RESOURCES LIMITED,KOR,Materials
KORE POTASH PLC,KP2,Materials
KOREA SOUTH-EAST POWER CO LTD,KOP,Not Applic
KORVEST LTD,KOV,Capital Goods
KRAKATOA RESOURCES LIMITED,KTA,Materials
KRESTA HOLDINGS LIMITED,KRS,Consumer Durables & Apparel
KULA GOLD LIMITED,KGD,Materials
KYCKR LIMITED,KYK,Software & Services
L1 LONG SHORT FUND LIMITED,LSF,Not Applic
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2018-1,LTF,Not Applic
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2018-2,LT1,Not Applic
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2019-1,LT3,Not Applic
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2019-2,LT4,Not Applic
LACHLAN STAR LIMITED,LSA,Materials
LAKE RESOURCES N.L.,LKE,Materials
LAKES OIL NL,LKO,Energy
LAND & HOMES GROUP LIMITED,LHM,Real Estate
LANEWAY RESOURCES LTD,LNY,Materials
LARAMIDE RESOURCES LTD,LAM,Energy
LARK DISTILLING CO. LTD,LRK,"Food, Beverage & Tobacco"
LASERBOND LIMITED,LBL,Capital Goods
LATIN RESOURCES LIMITED,LRS,Materials
LATITUDE AUSTRALIA CREDIT CARD LOAN NOTE TRUST,LCN,Not Applic
LATITUDE AUSTRALIA PERSONAL LOANS SERIES 2017-1 TRUST,LC1,Not Applic
LATITUDE AUSTRALIA PERSONAL LOANS SERIES 2020-1 TRUST,LC2,Not Applic
LATITUDE CONSOLIDATED LIMITED,LCD,Materials
LATROBE MAGNESIUM LIMITED,LMG,Materials
LAWFINANCE LIMITED,LAW,Diversified Financials
LAYBUY GROUP HOLDINGS LIMITED,LBY,Class Pend
LBT INNOVATIONS LIMITED,LBT,Health Care Equipment & Services
LEAF RESOURCES LTD,LER,Materials
LEFROY EXPLORATION LIMITED,LEX,Materials
LEGACY IRON ORE LIMITED,LCY,Materials
LEGEND MINING LIMITED,LEG,Materials
LEIGH CREEK ENERGY LIMITED,LCK,Energy
LENDLEASE GROUP,LLC,Real Estate
LEPIDICO LTD,LPD,Materials
LIBERTY FUNDING PTY LTD IN RESPECT OF LIBERTY SERIES 2017-3,LI4,Not Applic
LIBERTY FUNDING PTY LTD IN RESPECT OF LIBERTY SERIES 2017-4,LI1,Not Applic
LIBERTY FUNDING PTY LTD IN RESPECT OF LIBERTY SERIES 2018-1,LI2,Not Applic
LIBERTY FUNDING PTY LTD IN RESPECT OF LIBERTY SERIES 2019-2,LI6,Not Applic
LIBERTY FUNDING PTY LTD IN RESPECT OF THE LIBERTY SERIES 201,LI5,Not Applic
LIFE360 INC.,360,Software & Services
LIFESPOT HEALTH LTD,LSH,Health Care Equipment & Services
LIFESTYLE COMMUNITIES LIMITED,LIC,Real Estate
"LIMEADE, INC.",LME,Software & Services
LINCOLN MINERALS LIMITED,LML,Materials
LINDIAN RESOURCES LIMITED,LIN,Materials
LINDSAY AUSTRALIA LIMITED,LAU,Transportation
LINIUS TECHNOLOGIES LIMITED,LNU,Software & Services
LINK ADMINISTRATION HOLDINGS LIMITED,LNK,Software & Services
LION ENERGY LIMITED,LIO,Energy
LION ONE METALS LIMITED,LLO,Materials
LION SELECTION GROUP LIMITED.,LSX,Not Applic
LIONHUB GROUP LIMITED,LHB,Real Estate
LIONTOWN RESOURCES LIMITED,LTR,Materials
LIQUEFIED NATURAL GAS LIMITED,LNG,Energy
LITHIUM AUSTRALIA NL,LIT,Materials
LITHIUM CONSOLIDATED LIMITED,LI3,Materials
LITHIUM POWER INTERNATIONAL LIMITED,LPI,Materials
LITTLE GREEN PHARMA LTD,LGP,"Pharmaceuticals, Biotechnology & Life Sciences"
LIVEHIRE LIMITED,LVH,Software & Services
LIVETILES LIMITED,LVT,Software & Services
LIVING CELL TECHNOLOGIES LIMITED,LCT,"Pharmaceuticals, Biotechnology & Life Sciences"
LLOYDS BANK PLC,LLP,Not Applic
LLOYDS BANKING GROUP PLC,LO1,Not Applic
LOCALITY PLANNING ENERGY HOLDINGS LIMITED,LPE,Utilities
LODESTAR MINERALS LIMITED,LSR,Materials
LOGICAMMS LIMITED,LCM,Capital Goods
LONDON CITY EQUITIES LIMITED,LCE,Diversified Financials
LOS CERROS LIMITED,LCL,Materials
LOTUS RESOURCES LIMITED,LOT,Materials
LOVE GROUP GLOBAL LTD,LVE,Software & Services
LOVISA HOLDINGS LIMITED,LOV,Retailing
LOWELL RESOURCES FUND,LRT,Not Applic
LUCAPA DIAMOND COMPANY LIMITED,LOM,Materials
LUSTRUM MINERALS LTD,LRM,Energy
LYCOPODIUM LIMITED,LYL,Capital Goods
LYNAS CORPORATION LIMITED,LYC,Materials
M8 SUSTAINABLE LIMITED,M8S,Commercial & Professional Services
MACA LIMITED,MLD,Materials
MACARTHUR MINERALS LIMITED,MIO,Materials
MACH7 TECHNOLOGIES LIMITED,M7T,Health Care Equipment & Services
MACMAHON HOLDINGS LIMITED,MAH,Materials
MACQUARIE BANK LIMITED,MBL,Not Applic
MACQUARIE GROUP LIMITED,MQG,Diversified Financials
MACQUARIE TELECOM GROUP LIMITED,MAQ,Telecommunication Services
MADER GROUP LIMITED,MAD,Commercial & Professional Services
MAGELLAN FINANCIAL GROUP LIMITED,MFG,Diversified Financials
MAGELLAN GLOBAL TRUST,MGG,Not Applic
MAGELLAN HIGH CONVICTION TRUST,MHH,Not Applic
MAGGIE BEER HOLDINGS LTD,MBH,"Food, Beverage & Tobacco"
MAGMATIC RESOURCES LIMITED,MAG,Materials
MAGNETIC RESOURCES NL,MAU,Materials
MAGNETITE MINES LIMITED.,MGT,Materials
MAGNIS ENERGY TECHNOLOGIES LTD,MNS,Materials
MAGNUM MINING AND EXPLORATION LIMITED,MGU,Materials
MAGONTEC LIMITED,MGL,Materials
MAINSTREAM GROUP HOLDINGS LIMITED,MAI,Diversified Financials
MAKO GOLD LIMITED,MKG,Materials
MALACHITE RESOURCES LIMITED,MAR,Materials
MALI LITHIUM LIMITED,MLL,Materials
MANALTO LIMITED,MTL,Software & Services
MANAS RESOURCES LIMITED,MSR,Materials
MANDRAKE RESOURCES LIMITED,MAN,Materials
MANHATTAN CORPORATION LIMITED,MHC,Energy
MANUKA RESOURCES LTD.,MKR,Materials
MARENICA ENERGY LTD,MEY,Energy
MARINER CORPORATION LIMITED,MCX,Diversified Financials
MARLEY SPOON AG,MMM,Consumer Services
MARMOTA LIMITED,MEU,Energy
MARQUEE RESOURCES LIMITED,MQR,Materials
MASTERMYNE GROUP LIMITED,MYE,Materials
MATADOR MINING LIMITED,MZZ,Materials
MATRIX COMPOSITES & ENGINEERING LIMITED,MCE,Energy
MATSA RESOURCES LIMITED,MAT,Materials
MAXIMUS RESOURCES LIMITED,MXR,Materials
MAXITRANS INDUSTRIES LIMITED,MXI,Capital Goods
MAYFIELD CHILDCARE LIMITED,MFD,Consumer Services
MAYNE PHARMA GROUP LIMITED,MYX,"Pharmaceuticals, Biotechnology & Life Sciences"
MAYUR RESOURCES LIMITED,MRL,Materials
MC MINING LIMITED,MCM,Energy
MCB RESOURCES LIMITED,MCB,Energy
MCGRATH LIMITED,MEA,Real Estate
MCMILLAN SHAKESPEARE LIMITED,MMS,Commercial & Professional Services
MCP INCOME OPPORTUNITIES TRUST,MOT,Not Applic
MCP MASTER INCOME TRUST,MXT,Not Applic
MCPHERSON'S LIMITED,MCP,Household & Personal Products
MCS SERVICES LIMITED,MSG,Commercial & Professional Services
MEC RESOURCES LIMITED,MMR,Energy
MEDADVISOR LIMITED,MDR,Health Care Equipment & Services
MEDALLION TRUST SERIES 2013-2,MBJ,Not Applic
MEDALLION TRUST SERIES 2014-1,MDZ,Not Applic
MEDALLION TRUST SERIES 2014-1P,MPZ,Not Applic
MEDALLION TRUST SERIES 2015-2,MZC,Not Applic
MEDALLION TRUST SERIES 2016-1,MZF,Not Applic
MEDALLION TRUST SERIES 2016-2,MZT,Not Applic
MEDALLION TRUST SERIES 2017-1,MZ1,Not Applic
MEDALLION TRUST SERIES 2017-2,MZ2,Not Applic
MEDIBANK PRIVATE LIMITED,MPL,Insurance
MEDIBIO LIMITED,MEB,Health Care Equipment & Services
MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,MVP,"Pharmaceuticals, Biotechnology & Life Sciences"
MEDIGARD LIMITED,MGZ,Health Care Equipment & Services
MEDILAND PHARM LIMITED,MPH,Retailing
MEDLAB CLINICAL LIMITED,MDC,"Pharmaceuticals, Biotechnology & Life Sciences"
MEDUSA MINING LIMITED,MML,Materials
MEGAPORT LIMITED,MP1,Software & Services
MEJORITY CAPITAL LIMITED,MJC,Diversified Financials
MELBANA ENERGY LIMITED,MAY,Energy
MEMPHASYS LIMITED.,MEM,"Pharmaceuticals, Biotechnology & Life Sciences"
MERCANTILE INVESTMENT COMPANY LTD,MVT,Not Applic
MERCHANT HOUSE INTERNATIONAL LIMITED,MHI,Consumer Durables & Apparel
MERCURY NZ LIMITED,MCY,Utilities
MERIDIAN ENERGY LIMITED,MEZ,Utilities
MESOBLAST LIMITED,MSB,"Pharmaceuticals, Biotechnology & Life Sciences"
METAL BANK LIMITED,MBK,Materials
METALICITY LIMITED,MCT,Materials
METALLICA MINERALS LIMITED,MLM,Materials
METALS AUSTRALIA LTD,MLS,Materials
METALS X LIMITED,MLX,Materials
METALSEARCH LIMITED,MSE,Materials
METALSTECH LIMITED,MTC,Materials
METCASH LIMITED,MTS,Food & Staples Retailing
METEORIC RESOURCES NL,MEI,Materials
METGASCO LTD,MEL,Energy
METLIFECARE LIMITED,MEQ,Health Care Equipment & Services
METRO MINING LIMITED,MMI,Materials
METRO PERFORMANCE GLASS LIMITED,MPP,Capital Goods
MFF CAPITAL INVESTMENTS LIMITED,MFF,Not Applic
MGC PHARMACEUTICALS LTD,MXC,"Pharmaceuticals, Biotechnology & Life Sciences"
MGM WIRELESS LIMITED,MWR,Media & Entertainment
MICHAEL HILL INTERNATIONAL LIMITED,MHJ,Retailing
MICRO-X LIMITED,MX1,Health Care Equipment & Services
MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED,MAM,Diversified Financials
MIDDLE ISLAND RESOURCES LIMITED,MDI,Materials
MIDWAY LIMITED,MWY,Materials
MILLENNIUM SERVICES GROUP LIMITED,MIL,Commercial & Professional Services
MILLINIUM'S ALTERNATIVES FUND.,MAX,Not Applic
MILTON CORPORATION LIMITED,MLT,Not Applic
MINBOS RESOURCES LIMITED,MNB,Materials
MINCOR RESOURCES NL,MCR,Materials
MINDAX LIMITED,MDX,Materials
MINERAL COMMODITIES LTD,MRC,Materials
MINERAL RESOURCES LIMITED,MIN,Materials
MINOTAUR EXPLORATION LTD,MEP,Materials
MINREX RESOURCES LIMITED,MRR,Materials
MINT PAYMENTS LIMITED,MNW,Software & Services
MIRRABOOKA INVESTMENTS LIMITED,MIR,Not Applic
MIRVAC GROUP,MGR,Real Estate
MITCHELL SERVICES LIMITED,MSV,Materials
MITHRIL RESOURCES LIMITED,MTH,Materials
MMA OFFSHORE LIMITED,MRM,Energy
MMJ GROUP HOLDINGS LIMITED,MMJ,Not Applic
MNC MEDIA INVESTMENT LTD,MIH,Media & Entertainment
MNF GROUP LIMITED,MNF,Telecommunication Services
MOBECOM LIMITED,MBM,Software & Services
MOBILICOM LIMITED,MOB,Technology Hardware & Equipment
MOELIS AUSTRALIA LIMITED,MOE,Diversified Financials
MOHO RESOURCES LIMITED,MOH,Materials
MOLOPO ENERGY LIMITED,MPO,Energy
MONADELPHOUS GROUP LIMITED,MND,Capital Goods
MONASH ABSOLUTE INVESTMENT COMPANY LIMITED,MA1,Not Applic
MONASH IVF GROUP LIMITED,MVF,Health Care Equipment & Services
MONEY3 CORPORATION LIMITED,MNY,Diversified Financials
MONEYME LIMITED,MME,Diversified Financials
MONT ROYAL RESOURCES LIMITED,MRZ,Materials
MONTEM RESOURCES LIMITED.,MR1,Class Pend
MORETON RESOURCES LTD,MRV,Energy
MORPHIC ETHICAL EQUITIES FUND LIMITED,MEC,Diversified Financials
MORTGAGE CHOICE LIMITED,MOC,Banks
MOSAIC BRANDS LIMITED,MOZ,Retailing
MOTORCYCLE HOLDINGS LIMITED,MTO,Retailing
MOUNT BURGESS MINING NL,MTB,Materials
MOUNT GIBSON IRON LIMITED,MGX,Materials
MOUNT RIDLEY MINES LIMITED,MRD,Materials
MPOWER GROUP LIMITED,MPR,Diversified Financials
MRG METALS LIMITED,MRQ,Materials
MSL SOLUTIONS LIMITED.,MSL,Software & Services
MSM CORPORATION INTERNATIONAL LTD,MSM,Media & Entertainment
MULTISTACK INTERNATIONAL LIMITED,MSI,Capital Goods
MURRAY COD AUSTRALIA LIMITED,MCA,"Food, Beverage & Tobacco"
MURRAY RIVER ORGANICS GROUP LIMITED,MRG,"Food, Beverage & Tobacco"
MUSGRAVE MINERALS LIMITED,MGV,Materials
MUSTERA PROPERTY GROUP LIMITED,MPX,Real Estate
MYANMAR METALS LIMITED,MYL,Materials
MYER HOLDINGS LIMITED,MYR,Retailing
MYFIZIQ LIMITED,MYQ,Software & Services
MYSTATE LIMITED,MYS,Banks
N1 HOLDINGS LIMITED,N1H,Banks
NAGAMBIE RESOURCES LIMITED,NAG,Materials
NAMOI COTTON LIMITED,NAM,Commercial & Professional Services
NANOLLOSE LIMITED,NC6,"Pharmaceuticals, Biotechnology & Life Sciences"
NANOSONICS LIMITED,NAN,Health Care Equipment & Services
NANOVEU LIMITED,NVU,Technology Hardware & Equipment
NAOS EMERGING OPPORTUNITIES COMPANY LIMITED,NCC,Not Applic
NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,NAC,Not Applic
NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,NSC,Not Applic
NATIONAL AUSTRALIA BANK LIMITED,NAB,Banks
NATIONAL HOUSING FINANCE AND INVESTMENT CORPORATION,NFI,Not Applic
NATIONAL RMBS TRUST 2012-2 SERIES 2012-2,NAH,Not Applic
NATIONAL RMBS TRUST 2015-1 SERIES 2015-1,NAJ,Not Applic
NATIONAL RMBS TRUST 2016-1,NRM,Not Applic
NATIONAL RMBS TRUST 2018-1 IN RESPECT OF SERIES 2018-1,NRO,Not Applic
NATIONAL STORAGE REIT,NSR,Real Estate
NATIONAL TYRE & WHEEL LIMITED,NTD,Retailing
NAVARRE MINERALS LIMITED,NML,Materials
NAVIGATOR GLOBAL INVESTMENTS LIMITED,NGI,Diversified Financials
NB GLOBAL CORPORATE INCOME TRUST,NBI,Not Applic
NEARMAP LTD,NEA,Software & Services
NELSON RESOURCES LIMITED.,NES,Materials
NEOMETALS LTD,NMT,Materials
NETCCENTRIC LIMITED,NCL,Media & Entertainment
NETLINKZ LIMITED,NET,Software & Services
NETWEALTH GROUP LIMITED,NWL,Diversified Financials
NEUREN PHARMACEUTICALS LIMITED,NEU,"Pharmaceuticals, Biotechnology & Life Sciences"
NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,NSB,"Pharmaceuticals, Biotechnology & Life Sciences"
NEUROTECH INTERNATIONAL LIMITED,NTI,Health Care Equipment & Services
NEW AGE EXPLORATION LIMITED,NAE,Energy
NEW CENTURY RESOURCES LIMITED,NCZ,Materials
NEW ENERGY MINERALS LTD,NXE,Materials
NEW ENERGY SOLAR,NEW,Utilities
NEW HOPE CORPORATION LIMITED,NHC,Energy
NEW STANDARD ENERGY LIMITED,NSE,Energy
NEW TALISMAN GOLD MINES LIMITED,NTL,Materials
NEW WORLD RESOURCES LIMITED,NWC,Materials
NEW ZEALAND COASTAL SEAFOODS LIMITED,NZS,"Food, Beverage & Tobacco"
NEW ZEALAND KING SALMON INVESTMENTS LIMITED,NZK,"Food, Beverage & Tobacco"
NEWCREST MINING LIMITED,NCM,Materials
NEWFIELD RESOURCES LIMITED,NWF,Materials
NEWS CORPORATION..,NWS,Media & Entertainment
NEX METALS EXPLORATION LIMITED,NME,Materials
NEXT SCIENCE LIMITED,NXS,Health Care Equipment & Services
NEXTDC LIMITED,NXT,Software & Services
NEXUS MINERALS LIMITED,NXM,Materials
NGE CAPITAL LIMITED,NGE,Not Applic
NIB HOLDINGS LIMITED,NHF,Insurance
NICK SCALI LIMITED,NCK,Retailing
NICKEL MINES LIMITED,NIC,Materials
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,NEC,Media & Entertainment
NITRO SOFTWARE LIMITED,NTO,Software & Services
NIUMINCO GROUP LIMITED,NIU,Materials
NORDIC INVESTMENT BANK,NIB,Not Applic
NORTH STAWELL MINERALS LTD,NSM,Class Pend
NORTHERN MINERALS LIMITED,NTU,Materials
NORTHERN STAR RESOURCES LTD,NST,Materials
NORWEST ENERGY NL,NWE,Energy
NORWEST MINERALS LIMITED,NWM,Materials
NORWOOD SYSTEMS LIMITED,NOR,Software & Services
NOVA EYE MEDICAL LIMITED,EYE,Health Care Equipment & Services
NOVA MINERALS LIMITED,NVA,Materials
NOVATTI GROUP LIMITED,NOV,Software & Services
NOVONIX LIMITED,NVX,Technology Hardware & Equipment
NOXOPHARM LIMITED,NOX,"Pharmaceuticals, Biotechnology & Life Sciences"
